secret1qzjg0f39jgh6r0g2je8wqy6cxh0u8a69hzff0l,LUNA,100.000000
secret1qyefdyv7jw5zs8vjx0en6vsnuf77vns6zvnlz7,LUNA,0.008000
secret1qkpu37z28a2mnvw4ya4lzqtlgz3rttj9e786w8,LUNA,6.000000
secret1qhw3r6ttn08sht9s9pgtswdt3vywssjn268zat,LUNA,10.000000
secret1q7s6af3fs988pauv0vf8y9rzdveyjvetru7n57,LUNA,0.193034
secret1pgve5hdt7zvxqvmg9sg4nyw4vr5xxqt7l73529,LUNA,1.500000
secret1phgtzh06j7pn3gjz02nn2364zexdnup4x5x93x,LUNA,0.050000
secret1z6x5xsc2dtvaav0q6sthv9td40v8a4agcdtwwe,LUNA,0.100000
secret1zl6ksm7yhfmhxn0k7adpx2zfhax6z6xlah3dag,LUNA,0.010336
secret1rzlvvsp0r2vak9aq7cdnm9edgudct3rahgum04,LUNA,31.997333
secret1rnq6hjfnalxeef87rmdeya3nu9dhpc7k9pujs3,LUNA,0.008000
secret1rnl7pg3ppvw02duawy9qx6tvqr9fuft0lxpqv4,LUNA,0.050000
secret1rm7gpxpnu276xtaqnysy4jh49596d05g5km0aa,LUNA,0.050000
secret1ra7avvjh9fhr7dtr3djutugwj59ptctsrakyyw,LUNA,8292820.771498
secret1rlqc49ts8dkyjusznqjgkwv708286ja3xwd8l6,LUNA,0.351038
secret1ytpnwlvz69z7u8rd4yqa8dxr33ygl7n28t2kpq,LUNA,0.001000
secret1y4aywa5qslvwyc4rxqwqp9wqfrq2q38vahtpkm,LUNA,0.200000
secret1yeh09gk9ezpfl72q0jfp6yuh2044cvtgay6e6e,LUNA,0.020000
secret1ym8x4d8ggarlvrc0473uylaj6gssuqgdj3cutx,LUNA,1.000000
secret1ylg0jfmdpupv4cj6kfalzvtj0m6df0a5j470mz,LUNA,0.100000
secret1xvx4k8mrsjwzp5ljkrlyaq03xe9nny6kwxdxwx,LUNA,0.000100
secret1xjy9ff0glyyr89mumed7g88n9gxt7vr6xh3788,LUNA,1.000000
secret1xjlrgpcxasgpjvjdj6k75z9d4f8rmv5d8w2cg4,LUNA,73417.018659
secret1xkfvnqfstyuvrqq2cxtkevaevrlmagttaqn8kd,LUNA,0.100000
secret1xcywp5smmmdxudc7xgnrezt6fnzzvmxqf7ldty,LUNA,0.036817
secret1xm75xqka6uuvr0kx67uy39nfruqwc3vnue38e6,LUNA,5.000000
secret18pj7caj3kppj6utkprdds7dpaq8kvhmeq2ud8c,LUNA,0.040000
secret18rh8f4l7kfvl6cwzjsvzqaq4vukx4xq85wrm7k,LUNA,40831.143348
secret18tv9489rp0udf60qag3retakkszjkq2frwvdv8,LUNA,87104.701749
secret18v885lnaa54eypfav8hlr8t9f3vcawqm7yg4ta,LUNA,0.250000
secret184fgl8jqlm4kc63stvax3jw4jw6y9ejsx0ard9,LUNA,1.100000
secret18he92z3ff4dy7k7tekv9ptzqf9w70azjwg4fef,LUNA,1.000005
secret187dz9zlxc3zrltzx5756tu7zew6yu3v0r5ks72,LUNA,0.010000
secret1gz3ehndxkaupheevzugqra7ysdvwawmfs3kt3z,LUNA,0.060000
secret1gyrwg3z4kp2t0rmmu6nyvctljlfa8jj7a2qe35,LUNA,0.050000
secret1gtx7pmgvf6ju9a5xlyd5yxm2zw0ld6nkn03drm,LUNA,0.010000
secret1g32hqqe3r2cxajg924zgxg72zlrp00qcm7hu4n,LUNA,279.704518
